id,project_id,assignee_id,title,status,priority,estimated_hours,actual_hours,due_date,completed_at,created_at
18,3,3,智能考勤分析系统-需求梳理-18,done,urgent,22.01,24.16,2026-01-09,2026-01-05,2026-01-01 09:00:00
19,11,46,用户行为分析系统-指标看板-19,todo,urgent,9.32,7.87,2026-05-07,,2026-04-12 09:00:00
20,3,38,智能考勤分析系统-权限控制-20,review,high,6.84,5.35,2025-12-10,,2025-11-27 09:00:00
21,2,46,设备使用监控系统-接口开发-21,blocked,medium,7.65,6.3,2025-12-17,,2025-12-08 09:00:00
22,12,39,数据查询 Agent 平台-模型评估-22,todo,high,12.17,0.11,2026-04-21,,2026-03-28 09:00:00
23,8,22,任务协同分析平台-需求梳理-23,done,low,8.43,10.05,2026-02-24,2026-02-20,2026-02-04 09:00:00
24,5,60,会议纪要结构化系统-权限控制-24,todo,medium,3.34,0.23,2026-02-11,,2026-02-01 09:00:00
25,10,45,实时消息推送平台-权限控制-25,blocked,urgent,6.66,6.64,2026-05-23,,2026-04-30 09:00:00
26,1,27,科研工效分析平台-权限控制-26,review,low,18.94,14.46,2025-12-16,,2025-11-20 09:00:00
27,7,28,实验室资源调度系统-数据同步-27,in_progress,urgent,11.9,5.92,2026-05-01,,2026-04-27 09:00:00
28,2,7,设备使用监控系统-接口开发-28,review,low,13.05,10.46,2026-01-07,,2025-12-25 09:00:00
29,9,10,知识库问答系统-日志分析-29,done,medium,27.05,32.82,2026-06-09,2026-06-06,2026-05-16 09:00:00
30,9,33,知识库问答系统-页面联调-30,blocked,high,30.02,16.08,2026-07-03,,2026-06-11 09:00:00
31,1,56,科研工效分析平台-部署配置-31,todo,urgent,23.77,6.07,2026-02-03,,2026-01-23 09:00:00
32,9,33,知识库问答系统-数据同步-32,todo,urgent,13.12,1.88,2026-03-17,,2026-03-11 09:00:00
33,4,35,项目进度管理平台-测试用例-33,review,urgent,4.01,2.34,2026-02-17,,2026-02-02 09:00:00
34,5,56,会议纪要结构化系统-页面联调-34,in_progress,high,15.53,0.23,2026-03-06,,2026-02-26 09:00:00
35,1,50,科研工效分析平台-接口开发-35,blocked,high,9.61,0.88,2025-12-02,,2025-11-28 09:00:00
36,7,26,实验室资源调度系统-页面联调-36,done,urgent,29.25,34.98,2026-03-11,2026-03-10,2026-02-22 09:00:00
37,6,59,数据质量监控平台-数据同步-37,in_progress,low,31.04,6.88,2026-03-26,,2026-03-21 09:00:00
38,12,33,数据查询 Agent 平台-模型评估-38,blocked,low,22.02,14.13,2026-03-30,,2026-03-17 09:00:00
39,3,3,智能考勤分析系统-指标看板-39,blocked,medium,13.48,0.27,2026-03-08,,2026-02-10 09:00:00
40,12,33,数据查询 Agent 平台-权限控制-40,todo,low,28.79,18.49,2026-07-19,,2026-07-15 09:00:00
41,1,54,科研工效分析平台-接口开发-41,in_progress,low,25.15,1.15,2026-03-09,,2026-02-24 09:00:00
42,7,29,实验室资源调度系统-模型评估-42,blocked,medium,12.11,7.35,2026-01-29,,2026-01-19 09:00:00
43,8,52,任务协同分析平台-数据同步-43,done,low,20.78,19.88,2026-04-01,2026-03-28,2026-03-28 09:00:00
44,3,38,智能考勤分析系统-模型评估-44,review,medium,17.34,12.65,2026-03-20,,2026-02-22 09:00:00
45,11,22,用户行为分析系统-数据同步-45,done,low,31.2,23.3,2026-07-25,2026-07-23,2026-06-28 09:00:00
46,3,51,智能考勤分析系统-权限控制-46,done,medium,16.6,17.16,2026-03-20,2026-03-17,2026-03-15 09:00:00
47,9,47,知识库问答系统-接口开发-47,review,high,2.4,0.56,2026-03-29,,2026-03-16 09:00:00
48,10,25,实时消息推送平台-模型评估-48,review,medium,14.16,13.17,2026-03-18,,2026-02-24 09:00:00
49,4,7,项目进度管理平台-测试用例-49,review,high,18.5,10.39,2026-01-16,,2026-01-04 09:00:00
50,4,58,项目进度管理平台-模型评估-50,in_progress,medium,29.31,8.37,2026-03-29,,2026-03-19 09:00:00
51,4,49,项目进度管理平台-日志分析-51,done,urgent,5.91,5.32,2026-04-04,2026-04-01,2026-03-15 09:00:00
52,11,24,用户行为分析系统-接口开发-52,review,low,18.81,13.79,2026-04-09,,2026-03-13 09:00:00
53,3,17,智能考勤分析系统-权限控制-53,done,urgent,2.59,2.89,2025-12-18,2025-12-15,2025-12-15 09:00:00
54,11,39,用户行为分析系统-接口开发-54,in_progress,high,20.75,4.76,2026-04-18,,2026-04-13 09:00:00
55,6,58,数据质量监控平台-指标看板-55,done,urgent,26.94,33.02,2026-02-22,2026-02-20,2026-02-01 09:00:00
56,6,59,数据质量监控平台-日志分析-56,blocked,urgent,31.6,27.56,2026-02-10,,2026-01-26 09:00:00
57,1,24,科研工效分析平台-测试用例-57,done,medium,28.45,42.55,2026-02-01,2026-02-01,2026-01-23 09:00:00
58,6,46,数据质量监控平台-权限控制-58,todo,high,17.56,2.76,2026-04-23,,2026-04-06 09:00:00
59,9,33,知识库问答系统-页面联调-59,in_progress,high,9.94,0.38,2026-05-01,,2026-04-20 09:00:00
60,12,48,数据查询 Agent 平台-页面联调-60,review,low,29.94,1.35,2026-07-26,,2026-07-05 09:00:00
61,9,44,知识库问答系统-需求梳理-61,review,high,19.67,5.72,2026-04-19,,2026-04-01 09:00:00
62,2,26,设备使用监控系统-数据同步-62,blocked,urgent,24,23.06,2025-12-07,,2025-11-24 09:00:00
63,6,46,数据质量监控平台-权限控制-63,todo,medium,31.49,30.81,2026-02-26,,2026-02-15 09:00:00
64,6,22,数据质量监控平台-指标看板-64,blocked,high,30.44,24.41,2026-02-08,,2026-02-02 09:00:00
65,7,50,实验室资源调度系统-指标看板-65,in_progress,urgent,13.45,3.77,2026-05-13,,2026-05-07 09:00:00
66,9,33,知识库问答系统-数据同步-66,blocked,low,10.57,1.69,2026-06-12,,2026-05-26 09:00:00
67,11,24,用户行为分析系统-页面联调-67,todo,medium,4.55,3.9,2026-07-22,,2026-06-30 09:00:00
68,9,33,知识库问答系统-页面联调-68,done,high,21.63,22.24,2026-03-02,2026-02-28,2026-02-06 09:00:00
69,6,56,数据质量监控平台-日志分析-69,review,high,6.8,6.5,2026-02-16,,2026-02-07 09:00:00
70,5,1,会议纪要结构化系统-日志分析-70,in_progress,high,25.84,23.95,2026-04-23,,2026-04-12 09:00:00
71,3,51,智能考勤分析系统-测试用例-71,todo,low,3.57,0.58,2026-03-08,,2026-02-12 09:00:00
72,9,7,知识库问答系统-模型评估-72,in_progress,high,5.46,0.39,2026-04-04,,2026-03-29 09:00:00
73,7,56,实验室资源调度系统-部署配置-73,done,low,18.09,17.25,2026-04-18,2026-04-18,2026-04-04 09:00:00
74,9,10,知识库问答系统-数据同步-74,review,urgent,8.03,7.19,2026-03-21,,2026-03-03 09:00:00
75,11,41,用户行为分析系统-接口开发-75,done,urgent,8.77,12.05,2026-07-29,2026-07-25,2026-07-06 09:00:00
76,7,28,实验室资源调度系统-部署配置-76,done,medium,20.63,21.69,2026-02-20,2026-02-20,2026-02-16 09:00:00
77,12,41,数据查询 Agent 平台-权限控制-77,blocked,high,2.64,1.46,2026-05-16,,2026-04-20 09:00:00
78,4,24,项目进度管理平台-页面联调-78,review,medium,17.16,14.08,2026-02-21,,2026-01-25 09:00:00
79,2,7,设备使用监控系统-权限控制-79,todo,medium,3.78,1.28,2026-01-27,,2026-01-14 09:00:00
80,1,39,科研工效分析平台-部署配置-80,done,low,21.25,19.05,2025-12-14,2025-12-12,2025-12-10 09:00:00
81,4,49,项目进度管理平台-需求梳理-81,blocked,low,31.87,29.67,2026-02-20,,2026-01-26 09:00:00
82,8,3,任务协同分析平台-需求梳理-82,in_progress,low,23.86,3.94,2026-06-15,,2026-05-23 09:00:00
83,5,9,会议纪要结构化系统-接口开发-83,review,low,14.1,6.67,2026-03-14,,2026-02-24 09:00:00
84,12,5,数据查询 Agent 平台-页面联调-84,todo,high,14.22,12.76,2026-07-12,,2026-07-06 09:00:00
85,3,22,智能考勤分析系统-权限控制-85,blocked,high,6.24,3.72,2026-03-02,,2026-02-10 09:00:00
86,6,46,数据质量监控平台-需求梳理-86,review,urgent,10.91,0.95,2026-02-11,,2026-01-23 09:00:00
87,9,33,知识库问答系统-测试用例-87,todo,medium,25.25,0.51,2026-04-04,,2026-03-29 09:00:00
88,5,13,会议纪要结构化系统-指标看板-88,todo,urgent,2.87,1.28,2026-03-17,,2026-02-25 09:00:00
89,2,49,设备使用监控系统-数据同步-89,in_progress,high,17.63,17.4,2025-12-10,,2025-11-24 09:00:00
90,11,1,用户行为分析系统-日志分析-90,todo,low,5.52,4.31,2026-04-01,,2026-03-07 09:00:00
91,5,33,会议纪要结构化系统-需求梳理-91,review,medium,8.5,4.84,2026-04-15,,2026-03-25 09:00:00
92,11,20,用户行为分析系统-数据同步-92,review,high,31.7,5.34,2026-07-09,,2026-07-04 09:00:00
93,12,33,数据查询 Agent 平台-日志分析-93,in_progress,high,4.92,2.99,2026-07-05,,2026-06-22 09:00:00
94,8,3,任务协同分析平台-数据同步-94,in_progress,low,10.57,8.56,2026-03-14,,2026-03-08 09:00:00
95,2,11,设备使用监控系统-权限控制-95,done,low,14.11,18.19,2025-12-01,2025-11-30,2025-11-17 09:00:00
96,8,31,任务协同分析平台-数据同步-96,done,high,27.88,29.44,2026-05-20,2026-05-17,2026-05-12 09:00:00
97,9,1,知识库问答系统-权限控制-97,done,high,25.52,34.09,2026-05-02,2026-04-30,2026-04-14 09:00:00
98,12,33,数据查询 Agent 平台-数据同步-98,in_progress,high,8.03,3.07,2026-04-04,,2026-03-28 09:00:00
99,2,31,设备使用监控系统-测试用例-99,review,urgent,21.2,14.69,2025-11-22,,2025-11-14 09:00:00
100,6,42,数据质量监控平台-数据同步-100,blocked,medium,13.58,11.84,2026-02-13,,2026-01-23 09:00:00
101,12,33,数据查询 Agent 平台-数据同步-101,in_progress,high,6.61,3.54,2026-05-07,,2026-04-18 09:00:00
102,3,38,智能考勤分析系统-接口开发-102,review,urgent,12.33,10.23,2026-02-07,,2026-01-27 09:00:00
103,1,50,科研工效分析平台-数据同步-103,done,high,3.47,3.6,2026-03-05,2026-03-01,2026-02-10 09:00:00
104,10,43,实时消息推送平台-数据同步-104,blocked,medium,11.9,2.83,2026-03-21,,2026-03-12 09:00:00
105,11,38,用户行为分析系统-日志分析-105,review,urgent,17.93,17.32,2026-05-27,,2026-05-23 09:00:00
106,10,12,实时消息推送平台-数据同步-106,review,low,10.12,5.4,2026-06-13,,2026-06-08 09:00:00
107,7,49,实验室资源调度系统-指标看板-107,todo,urgent,30.4,22.29,2026-03-13,,2026-02-26 09:00:00
108,6,37,数据质量监控平台-接口开发-108,blocked,high,23.06,18.09,2026-01-28,,2026-01-22 09:00:00
109,12,33,数据查询 Agent 平台-页面联调-109,blocked,urgent,3.98,2.77,2026-08-12,,2026-07-18 09:00:00
110,3,48,智能考勤分析系统-接口开发-110,done,urgent,31.88,34.91,2026-01-18,2026-01-18,2026-01-07 09:00:00
111,5,15,会议纪要结构化系统-页面联调-111,done,medium,11.14,8.64,2026-04-13,2026-04-12,2026-03-30 09:00:00
112,11,6,用户行为分析系统-需求梳理-112,blocked,urgent,27.11,22.58,2026-04-05,,2026-03-26 09:00:00
113,12,3,数据查询 Agent 平台-需求梳理-113,done,medium,28.52,33.49,2026-05-19,2026-05-18,2026-05-04 09:00:00
114,2,46,设备使用监控系统-日志分析-114,in_progress,urgent,7.27,2.51,2026-02-12,,2026-01-27 09:00:00
115,3,38,智能考勤分析系统-部署配置-115,blocked,low,29.18,22.49,2026-04-17,,2026-03-26 09:00:00
116,12,48,数据查询 Agent 平台-日志分析-116,review,medium,13.49,0.91,2026-04-30,,2026-04-05 09:00:00
117,3,9,智能考勤分析系统-数据同步-117,todo,medium,2.94,1.11,2026-03-13,,2026-02-20 09:00:00
118,9,7,知识库问答系统-模型评估-118,done,urgent,31.17,37.66,2026-06-12,2026-06-08,2026-06-01 09:00:00
119,7,28,实验室资源调度系统-部署配置-119,todo,medium,19.67,8.57,2026-03-20,,2026-03-09 09:00:00
120,1,40,科研工效分析平台-日志分析-120,done,urgent,5.19,5.38,2025-12-19,2025-12-16,2025-12-03 09:00:00
121,3,51,智能考勤分析系统-日志分析-121,in_progress,urgent,29.58,6.23,2026-01-16,,2026-01-01 09:00:00
122,2,31,设备使用监控系统-部署配置-122,done,urgent,2.14,2.97,2026-02-11,2026-02-08,2026-01-31 09:00:00
123,6,12,数据质量监控平台-接口开发-123,blocked,urgent,15.73,12.46,2026-05-05,,2026-04-25 09:00:00
124,12,8,数据查询 Agent 平台-需求梳理-124,in_progress,high,27.89,21.3,2026-04-03,,2026-03-19 09:00:00
125,8,52,任务协同分析平台-权限控制-125,review,low,6.92,2.42,2026-04-19,,2026-04-16 09:00:00
126,1,24,科研工效分析平台-需求梳理-126,in_progress,low,5.7,1.93,2026-02-21,,2026-01-30 09:00:00
127,7,22,实验室资源调度系统-测试用例-127,todo,urgent,2.02,0.22,2026-01-22,,2026-01-13 09:00:00
128,8,21,任务协同分析平台-权限控制-128,review,low,19.64,19.23,2026-04-12,,2026-04-09 09:00:00
129,8,23,任务协同分析平台-接口开发-129,blocked,medium,28.87,14.71,2026-05-07,,2026-04-19 09:00:00
130,7,26,实验室资源调度系统-测试用例-130,todo,high,16.53,6.84,2026-02-20,,2026-02-10 09:00:00
131,11,12,用户行为分析系统-页面联调-131,in_progress,high,17.37,1.82,2026-06-12,,2026-05-18 09:00:00
132,5,60,会议纪要结构化系统-测试用例-132,done,low,27.62,24.96,2026-05-05,2026-05-01,2026-04-16 09:00:00
133,9,44,知识库问答系统-指标看板-133,in_progress,medium,7.1,4.7,2026-04-09,,2026-03-21 09:00:00
134,2,26,设备使用监控系统-模型评估-134,todo,high,6.91,5.43,2026-01-30,,2026-01-03 09:00:00
135,3,9,智能考勤分析系统-数据同步-135,todo,urgent,23.1,8.27,2025-12-14,,2025-11-30 09:00:00
136,3,48,智能考勤分析系统-日志分析-136,blocked,urgent,7.48,5.13,2026-03-08,,2026-02-17 09:00:00
137,1,39,科研工效分析平台-数据同步-137,in_progress,low,23.16,14.64,2026-03-29,,2026-03-09 09:00:00
138,11,46,用户行为分析系统-数据同步-138,blocked,medium,19.06,1.46,2026-07-16,,2026-06-24 09:00:00
139,12,8,数据查询 Agent 平台-权限控制-139,review,high,16.86,9.71,2026-03-28,,2026-03-15 09:00:00
140,6,12,数据质量监控平台-需求梳理-140,review,medium,4.86,2.2,2026-04-24,,2026-03-31 09:00:00
141,6,56,数据质量监控平台-接口开发-141,review,medium,9.58,1.93,2026-05-08,,2026-04-30 09:00:00
142,7,28,实验室资源调度系统-部署配置-142,done,medium,23.38,32.6,2026-04-13,2026-04-10,2026-03-28 09:00:00
143,12,33,数据查询 Agent 平台-指标看板-143,blocked,urgent,27.66,20.66,2026-06-07,,2026-05-23 09:00:00
144,8,11,任务协同分析平台-需求梳理-144,review,urgent,13.22,2.69,2026-03-28,,2026-03-18 09:00:00
145,11,32,用户行为分析系统-接口开发-145,in_progress,medium,17.91,4.32,2026-04-27,,2026-04-01 09:00:00
146,9,38,知识库问答系统-页面联调-146,review,urgent,23.98,18.89,2026-03-28,,2026-03-03 09:00:00
147,10,12,实时消息推送平台-日志分析-147,todo,high,19.05,1.82,2026-05-01,,2026-04-28 09:00:00
148,10,38,实时消息推送平台-需求梳理-148,todo,low,17.82,11.7,2026-06-18,,2026-06-07 09:00:00
149,6,42,数据质量监控平台-测试用例-149,todo,medium,14.91,13.94,2026-03-27,,2026-03-18 09:00:00
150,2,11,设备使用监控系统-模型评估-150,review,urgent,2.48,0.38,2026-01-17,,2025-12-31 09:00:00
151,10,48,实时消息推送平台-需求梳理-151,review,low,14.3,9.03,2026-04-16,,2026-04-07 09:00:00
152,6,59,数据质量监控平台-模型评估-152,todo,high,18.23,11.75,2026-03-10,,2026-02-26 09:00:00
153,2,53,设备使用监控系统-权限控制-153,in_progress,medium,25.48,1.5,2026-01-23,,2026-01-04 09:00:00
154,1,24,科研工效分析平台-需求梳理-154,blocked,medium,30.83,23.56,2026-03-10,,2026-02-16 09:00:00
155,11,1,用户行为分析系统-指标看板-155,done,low,22.57,22.75,2026-03-29,2026-03-28,2026-03-05 09:00:00
156,12,5,数据查询 Agent 平台-指标看板-156,todo,urgent,14.22,0.08,2026-04-24,,2026-04-09 09:00:00
157,1,50,科研工效分析平台-页面联调-157,in_progress,urgent,15.05,8.49,2026-01-31,,2026-01-23 09:00:00
158,10,30,实时消息推送平台-接口开发-158,blocked,high,14.68,12.77,2026-04-03,,2026-03-17 09:00:00
159,9,44,知识库问答系统-日志分析-159,done,medium,11.91,12.23,2026-03-05,2026-03-04,2026-02-25 09:00:00
160,4,3,项目进度管理平台-部署配置-160,done,medium,8.51,11.26,2026-04-05,2026-04-05,2026-04-01 09:00:00
161,2,11,设备使用监控系统-数据同步-161,blocked,high,8.61,5.31,2026-03-13,,2026-02-25 09:00:00
162,8,31,任务协同分析平台-指标看板-162,review,low,9.48,1.43,2026-05-27,,2026-05-03 09:00:00
163,11,20,用户行为分析系统-模型评估-163,todo,low,15,5.84,2026-07-06,,2026-07-01 09:00:00
164,5,35,会议纪要结构化系统-指标看板-164,blocked,high,26.87,15.93,2026-01-30,,2026-01-07 09:00:00
165,8,42,任务协同分析平台-接口开发-165,blocked,high,23.9,16.63,2026-04-24,,2026-04-07 09:00:00
166,6,42,数据质量监控平台-页面联调-166,blocked,medium,19.09,4.91,2026-05-13,,2026-05-04 09:00:00
167,1,56,科研工效分析平台-数据同步-167,todo,low,8.01,1.05,2026-02-06,,2026-01-12 09:00:00
168,9,42,知识库问答系统-模型评估-168,review,medium,27.3,5.57,2026-05-06,,2026-04-26 09:00:00
169,12,37,数据查询 Agent 平台-权限控制-169,in_progress,medium,23.85,17.28,2026-05-09,,2026-04-12 09:00:00
170,2,50,设备使用监控系统-权限控制-170,in_progress,urgent,7.66,6.28,2026-03-17,,2026-03-03 09:00:00
171,5,18,会议纪要结构化系统-指标看板-171,todo,urgent,9.24,8.65,2026-04-08,,2026-03-27 09:00:00
172,2,31,设备使用监控系统-测试用例-172,review,medium,11.58,1.2,2026-01-02,,2025-12-11 09:00:00
173,11,2,用户行为分析系统-权限控制-173,blocked,low,22.38,2.78,2026-07-11,,2026-07-07 09:00:00
174,12,37,数据查询 Agent 平台-需求梳理-174,done,urgent,20.79,18.75,2026-06-15,2026-06-13,2026-05-27 09:00:00
175,10,32,实时消息推送平台-指标看板-175,todo,urgent,5.35,2.95,2026-06-28,,2026-06-20 09:00:00
176,2,11,设备使用监控系统-测试用例-176,todo,medium,10.37,3.04,2026-02-28,,2026-02-22 09:00:00
177,10,35,实时消息推送平台-部署配置-177,done,high,21.3,15.25,2026-06-07,2026-06-04,2026-05-31 09:00:00
178,5,15,会议纪要结构化系统-测试用例-178,done,low,5.76,6.04,2026-01-16,2026-01-15,2026-01-04 09:00:00
179,8,52,任务协同分析平台-指标看板-179,todo,high,3.15,1.49,2026-03-15,,2026-02-22 09:00:00
180,3,3,智能考勤分析系统-权限控制-180,in_progress,urgent,20.43,0.18,2026-04-03,,2026-03-23 09:00:00
181,8,55,任务协同分析平台-模型评估-181,blocked,urgent,27.58,13.38,2026-05-30,,2026-05-13 09:00:00
182,11,46,用户行为分析系统-页面联调-182,blocked,high,21.28,5.03,2026-05-31,,2026-05-17 09:00:00
183,11,6,用户行为分析系统-部署配置-183,review,high,24.51,23.6,2026-04-27,,2026-04-17 09:00:00
184,6,37,数据质量监控平台-部署配置-184,done,urgent,6.01,6.99,2026-03-27,2026-03-24,2026-02-28 09:00:00
185,6,58,数据质量监控平台-数据同步-185,blocked,medium,13.22,1.42,2026-03-10,,2026-02-24 09:00:00
186,7,26,实验室资源调度系统-页面联调-186,in_progress,high,21.09,9.19,2026-03-07,,2026-02-26 09:00:00
187,6,42,数据质量监控平台-部署配置-187,done,urgent,20.98,18.83,2026-03-16,2026-03-12,2026-02-22 09:00:00
188,2,50,设备使用监控系统-模型评估-188,in_progress,high,26.73,14,2026-01-19,,2025-12-28 09:00:00
189,2,46,设备使用监控系统-页面联调-189,todo,high,15.33,2.62,2025-12-10,,2025-11-26 09:00:00
190,6,8,数据质量监控平台-日志分析-190,todo,medium,7.78,5.09,2026-03-13,,2026-03-06 09:00:00
191,2,49,设备使用监控系统-模型评估-191,review,low,26.88,22.55,2026-02-27,,2026-02-07 09:00:00
192,3,3,智能考勤分析系统-指标看板-192,blocked,urgent,23.55,0.31,2025-12-15,,2025-12-03 09:00:00
193,10,39,实时消息推送平台-模型评估-193,blocked,low,8.7,6.4,2026-06-10,,2026-06-01 09:00:00
194,4,3,项目进度管理平台-部署配置-194,blocked,high,4.3,4.21,2026-01-30,,2026-01-22 09:00:00
195,12,37,数据查询 Agent 平台-日志分析-195,blocked,low,9.67,3.05,2026-07-08,,2026-06-21 09:00:00
196,6,37,数据质量监控平台-指标看板-196,in_progress,low,26.02,6.71,2026-02-18,,2026-01-26 09:00:00
197,8,31,任务协同分析平台-数据同步-197,todo,urgent,24.66,13.87,2026-03-27,,2026-03-15 09:00:00
198,11,1,用户行为分析系统-指标看板-198,review,low,24.95,17.17,2026-05-31,,2026-05-10 09:00:00
199,10,30,实时消息推送平台-页面联调-199,in_progress,low,11.78,9.78,2026-04-16,,2026-04-04 09:00:00
200,3,3,智能考勤分析系统-接口开发-200,review,high,11.62,10.34,2026-04-04,,2026-03-14 09:00:00
201,11,6,用户行为分析系统-指标看板-201,todo,medium,31.19,12.73,2026-06-16,,2026-06-12 09:00:00
202,7,30,实验室资源调度系统-接口开发-202,todo,low,24.7,9.81,2026-05-28,,2026-05-19 09:00:00
203,2,26,设备使用监控系统-数据同步-203,done,medium,17.93,25.04,2026-03-10,2026-03-06,2026-02-15 09:00:00
204,9,38,知识库问答系统-日志分析-204,review,low,6.22,4,2026-05-13,,2026-04-17 09:00:00
205,6,59,数据质量监控平台-部署配置-205,blocked,medium,24.13,17.79,2026-02-25,,2026-02-14 09:00:00
206,11,25,用户行为分析系统-页面联调-206,todo,medium,9.05,2.9,2026-05-03,,2026-04-12 09:00:00
207,6,59,数据质量监控平台-模型评估-207,review,medium,13.63,13.33,2026-04-03,,2026-03-16 09:00:00
208,2,14,设备使用监控系统-数据同步-208,blocked,high,8.09,2.75,2025-12-05,,2025-12-02 09:00:00
209,10,48,实时消息推送平台-模型评估-209,in_progress,high,18.44,11.61,2026-03-30,,2026-03-19 09:00:00
210,7,49,实验室资源调度系统-测试用例-210,blocked,low,30.03,20.58,2026-04-16,,2026-03-29 09:00:00
211,6,37,数据质量监控平台-页面联调-211,review,medium,20.23,1.82,2026-02-21,,2026-02-07 09:00:00
212,3,4,智能考勤分析系统-权限控制-212,blocked,high,3.99,2.13,2026-03-30,,2026-03-09 09:00:00
213,11,2,用户行为分析系统-部署配置-213,done,low,17.98,15.06,2026-07-03,2026-07-03,2026-06-14 09:00:00
214,7,28,实验室资源调度系统-指标看板-214,blocked,high,19.05,1.45,2026-05-09,,2026-05-05 09:00:00
215,8,3,任务协同分析平台-需求梳理-215,blocked,medium,3.78,3.15,2026-05-11,,2026-05-06 09:00:00
216,3,43,智能考勤分析系统-权限控制-216,in_progress,urgent,5.5,0.63,2026-04-02,,2026-03-21 09:00:00
217,1,10,科研工效分析平台-日志分析-217,blocked,medium,29.51,25.72,2026-02-27,,2026-02-01 09:00:00
218,5,35,会议纪要结构化系统-需求梳理-218,in_progress,high,10.68,6.91,2026-04-11,,2026-03-28 09:00:00
219,5,33,会议纪要结构化系统-日志分析-219,in_progress,high,20.96,10.67,2026-04-09,,2026-03-28 09:00:00
220,10,38,实时消息推送平台-数据同步-220,in_progress,high,2.59,2.27,2026-06-30,,2026-06-26 09:00:00
221,11,38,用户行为分析系统-接口开发-221,blocked,high,28.51,14.36,2026-04-08,,2026-03-12 09:00:00
222,5,15,会议纪要结构化系统-接口开发-222,in_progress,high,28.65,8.28,2026-04-15,,2026-03-21 09:00:00
223,11,12,用户行为分析系统-页面联调-223,todo,medium,27.35,12.46,2026-06-02,,2026-05-14 09:00:00
224,1,39,科研工效分析平台-模型评估-224,in_progress,low,24.76,1.14,2026-01-27,,2026-01-16 09:00:00
225,10,43,实时消息推送平台-数据同步-225,todo,high,5.71,2.15,2026-05-08,,2026-04-17 09:00:00
226,7,29,实验室资源调度系统-页面联调-226,todo,high,8.39,1.75,2026-04-22,,2026-04-08 09:00:00
227,3,3,智能考勤分析系统-模型评估-227,review,urgent,12.57,6.14,2026-02-04,,2026-02-01 09:00:00
228,11,20,用户行为分析系统-接口开发-228,in_progress,urgent,19.27,0.58,2026-03-23,,2026-03-04 09:00:00
229,11,46,用户行为分析系统-权限控制-229,blocked,high,31.44,16.69,2026-05-03,,2026-04-12 09:00:00
230,6,22,数据质量监控平台-权限控制-230,review,high,18.17,16.37,2026-01-25,,2026-01-10 09:00:00
231,2,48,设备使用监控系统-数据同步-231,blocked,low,19.22,4.77,2025-12-30,,2025-12-17 09:00:00
232,12,33,数据查询 Agent 平台-接口开发-232,blocked,low,4.96,0.42,2026-06-05,,2026-05-30 09:00:00
233,4,24,项目进度管理平台-指标看板-233,review,high,5.71,5.56,2026-02-12,,2026-01-19 09:00:00
234,4,58,项目进度管理平台-接口开发-234,todo,urgent,9.15,3.92,2026-04-13,,2026-04-03 09:00:00
235,1,39,科研工效分析平台-页面联调-235,in_progress,medium,28.26,6.66,2025-11-29,,2025-11-25 09:00:00
236,2,53,设备使用监控系统-数据同步-236,done,low,21.48,26.25,2026-01-19,2026-01-17,2025-12-25 09:00:00
237,6,59,数据质量监控平台-需求梳理-237,done,low,26.43,30.84,2026-03-13,2026-03-10,2026-03-01 09:00:00
